类名,函数名,覆盖分支数,总分支数,覆盖率
#,PriceRiskFunction,0,4,0.0%
#,GetContextBasicsInfo,0,2,0.0%
#,CheckArbState,2,2,100.0%
#,CheckSysState,1,2,50.0%
#,GetEntrustDirectionIndex,10,12,83.33%
#,ChangeStockFeeTypeToInt,5,8,62.5%
#,GetFeeTypeIndex,3,12,25.0%
#,GetExchangeIndex,21,22,95.45%
#,GetExchangeType,14,24,58.33%
#,CalcEntrustStatus,0,8,0.0%
#,GetEntrustStatusInDeal,0,4,0.0%
#,GetEntrustStatusInWdCfm,0,4,0.0%
#,getStockFeeType,2,2,100.0%
#,CalcFee,20,44,45.45%
#,CheckFund,0,2,0.0%
#,CheckStockEnable,3,4,75.0%
#,CheckInsHoldEnable,4,6,66.67%
#,CheckOrderPriceLimit,3,4,75.0%
#,CheckPriceInterval,6,8,75.0%
#,CheckSTBoardOrderAmountAndUnit,4,24,16.67%
CheckSTBoardOrderAmountAndUnit>>,operator(),0,6,0.0%
#,CheckOrderAmountLimit,6,6,100.0%
#,CheckStockStop,2,2,100.0%
#,CHeckMarketOrderCommand,8,8,100.0%
#,CheckOrderUnit,5,34,14.71%
CheckOrderUnit>>,operator(),0,6,0.0%
#,CheckAssetAuth,0,4,0.0%
#,GetOrginEntrustByNo,0,0,--
#,AssetPush,5,10,50.0%
#,SetRspQryAsset,0,0,--
#,CombiPush,5,10,50.0%
#,SetRspQryCombi,0,0,--
#,FundPush,6,14,42.86%
#,SetRspQryFund,0,0,--
#,CheckDupDealRtn,0,4,0.0%
#,CheckEtfDupDealRtn,0,16,0.0%
#,GetOrginEntrustByRefer,0,0,--
#,CheckOrderActionEntrustStatus,2,2,100.0%
#,CHeckPriceType,10,12,83.33%
#,CheckDupRtn,0,4,0.0%
#,CheckEtfDupRtn,0,4,0.0%
#,GetInstanceHold,0,4,0.0%
#,CheckAllActionQueryFilter,0,2,0.0%
#,NewPushAtAllDim,3,8,37.5%
#,NewStockPushRecordForRevoke,0,2,0.0%
#,NewStockPushRecord,3,6,50.0%
#,NewStockEtfPushRecord,0,6,0.0%
#,PushStockMsg,4,10,40.0%
#,PushEtfMsg,0,8,0.0%
#,PushTradeMsg,0,2,0.0%
#,PushEtfTradeMsg,0,8,0.0%
#,GetEnableFormulaHashKey,0,0,--
#,GetCashEnableFormulaHashKey,0,0,--
#,GetSecurityIndex,0,14,0.0%
#,CalcCashEnableValue,1,2,50.0%
#,CalcCashEnableValueTN,3,4,75.0%
#,UpdateCashEnableValue,5,8,62.5%
#,ModCashEnableValue,2,4,50.0%
#,UpdateCashEnableValueAndCashFactor,4,8,50.0%
#,SendToUnionRiskRevoke,0,2,0.0%
#,SendToUnionRiskWithcfm,0,2,0.0%
#,SendToUnionRiskDeal,0,2,0.0%
#,SendToUnionRiskActionRevoke,0,2,0.0%
#,OfferStockOrder,2,8,25.0%
#,OfferStockActionOrder,0,8,0.0%
#,WriteTodbOfUpdateDoubtFlag,0,2,0.0%
#,CurrTimeTranfSecond,0,2,0.0%
#,CalculateEffectiveReportPriceRange,0,36,0.0%
#,CalculateProtectivePriceLimit,0,32,0.0%
#,StockWriteTodbTpl,1,2,50.0%
#,SetTerminalInformation,13,18,72.22%
#,SetEntrustTodbData,2,2,100.0%
#,SetWithEntrustTodbData,0,10,0.0%
#,SetConfirmRtnTodbData,0,0,--
#,SetRevokeRtnTodbData,0,0,--
#,SetWdCfmTodbData,0,4,0.0%
#,SetWdRvkTodbData,0,2,0.0%
#,NewPushAtSingleDim,0,6,0.0%
#,CalcHoldEnableValue,3,6,50.0%
#,ModHistoryHoldFactorValue,0,2,0.0%
#,UpdateHoldEnableValue,1,24,4.17%
#,UpdateHoldEnableValueAndHoldFactor,0,20,0.0%
#,GetStockPositionSeatIndex,2,12,16.67%
#,WritSingleDateSyncRedo,0,2,0.0%
WritSingleDateSyncRedo>>,operator(),0,0,--
ITimeStamp,GetTimeNs,0,0,--
LdpMsg,IsUstType,0,0,--
LdpMsg,IsDelayAnalysis,0,0,--
LdpMsg,IsCompress,0,0,--
LdpMsg,IsTestOnly,0,0,--
LdpMsg,IsRequest,0,0,--
LdpMsg,IsResponse,0,0,--
LdpMsg,IsErrorRsp,0,0,--
LdpMsg,GetType,0,0,--
LdpMsg,SetDelayAnalysis,0,0,--
LdpMsg,SetCompress,0,0,--
LdpMsg,SetTestOnly,0,0,--
LdpMsg,SetRequest,0,0,--
LdpMsg,SetResponse,0,0,--
LdpMsg,SetErrorRsp,0,0,--
LdpMsg,ClearDelayAnalysis,0,0,--
LdpMsg,ClearCompress,0,0,--
LdpMsg,ClearTestOnly,0,0,--
LdpMsg,SetSystemNo,0,0,--
LdpMsg,GetSystemNo,0,0,--
LdpMsg,SetToMaster,0,0,--
LdpMsg,SetToBackup,0,0,--
LdpMsg,SetToMasterAndBackup,0,0,--
LdpMsg,IsToMaster,0,0,--
LdpMsg,IsToBackup,0,0,--
LdpMsg,IsToMasterAndBackup,0,0,--
LdpMsg,GetExtHead,0,2,0.0%
LdpMsg,InitHead,0,0,--
LdpMsg,InitHeadFrom,0,0,--
LdpException,code,0,0,--
LdpException,what,0,0,--
ILdpPlugin,GetState,0,0,--
ILdpPlugin,GetProgress,0,0,--
CUstDataImpl,MproxyInit,0,0,--
CUstDataImpl,MproxyExit,0,0,--
CUstDataImpl,GetConfig,0,0,--
CUstDataImpl,GetBizProc,0,0,--
CUstDataImpl,GetConcurrencyFactor,0,0,--
CUstDataImpl,GetConcurrencyIndex,0,0,--
CUstDataImpl,GetLdpHost,0,0,--
CUstDataImpl,SetSysInitedTimestamp,0,0,--
CUstDataImpl,GetSysInitedTimestamp,0,0,--
CUstDataImpl,GetSubscriberCount,0,0,--
CUstDataImpl,GetLogLevel,0,0,--
CUstDataImpl,IsHaMode,0,0,--
CUstDataImpl,GetExternSysType,0,0,--
CUstDataImpl,GetCutBackSysType,0,0,--
CUstDataImpl,GetTraderCode,0,0,--
CUstDataImpl,GetTraderIndex,0,0,--
CReadWriteLock,CReadWriteLock,0,0,--
CReadWriteLock,~CReadWriteLock,0,0,--
CReadWriteLock,ReadLock,0,0,--
CReadWriteLock,ReadUnLock,0,0,--
CReadWriteLock,WriteLock,0,0,--
CReadWriteLock,WriteUnLock,0,0,--
CLoginBase,CLoginBase,0,0,--
IEntrust,AddRealDeal,0,2,0.0%
IEntrust,GetRealDeal,0,2,0.0%
IEntrust,GetRealDealCount,0,0,--
CDynamicArray,CDynamicArray<T>,0,0,--
CDynamicArray,~CDynamicArray<T>,0,0,--
CDynamicArray,Reserve,0,6,0.0%
CDynamicArray,SetMaxCapacity,0,4,0.0%
CDynamicArray,Add,0,2,0.0%
CDynamicArray,Get,0,0,--
CDynamicArray,GetIndex,0,2,0.0%
CDynamicArray,Sort,0,0,--
CDynamicArray,GetCount,0,0,--
CDynamicArray,GetCapacity,0,0,--
CDynamicArray,CompareSort,0,0,--
CDynamicArray,Lock,0,0,--
CDynamicArray,Unlock,0,0,--
CDictArray,CDictArray<K,,2,--
CDictArray,GetByKey,0,0,--
CDictArray,GetByIndex,0,4,0.0%
CDictArray,CreateRecord,0,0,--
CDictArray,GetIndexByKey,0,0,--
CBizContext,GetConnectID,0,0,--
CBizContext,GetGlobalData,0,0,--
CBizContext,GetOpenToUniRisk,0,0,--
CBizContext,SetNextSystem,0,0,--
CBizContext,GetNextSystem,0,0,--
CBizContext,GetThreadNo,0,0,--
CBizContext,GetAccountIndex,0,0,--
CBizContext,GetSessionIndex,0,0,--
CBizContext,GetMsgWriter,0,0,--
CBizContext,GetMutithreadFrameObj,0,0,--
CBizContext,GetRedoWriter,0,0,--
CBizContext,GetLogLevel,0,0,--
CBizContext,getLdpContext,0,0,--
CTraceIDLogWrapper,SetFlag,0,2,0.0%
CTraceIDLogWrapper,AddInt32,0,2,0.0%
CTraceIDLogWrapper,AddInt64,0,2,0.0%
CTraceIDLogWrapper,AddDouble,0,2,0.0%
CTraceIDLogWrapper,AddStr,0,2,0.0%
CTraceIDLogWrapper,AddStrNoCopy,0,2,0.0%
CTraceIDLogWrapper,AddChar,0,2,0.0%
CTraceIDLogWrapper,Init,0,0,--
CTraceIDLogWrapper,Set,0,0,--
CTraceIDLogWrapper,Finish,0,2,0.0%
IBizData,OnTimer,0,0,--
IBizData,OnCleanConfirm,0,0,--
IBizData,OnCleanPrepare,0,0,--
IBizData,OnCleanFinish,0,0,--
ILdpHost,GetState,0,0,--
SOptionalFields,GetOptionalFieldVal,14,24,58.33%
CSysarg,CSysarg,0,0,--
CSysarg,~CSysarg,0,0,--
CUstFutex,Lock,0,0,--
CUstFutex,UnLock,0,0,--
CSubscriber,GetID,0,0,--
CSubscriber,SetTraderId,0,0,--
CSubscriber,GetTraderId,0,0,--
CUstTmThread,CUstTmThread,2,2,100.0%
CUstTmThread,Init,2,2,100.0%
CUstTmThread,InitPoint,2,2,100.0%
CUstTmThread,SetBlock,0,0,--
CUstTmThread,SetRecordHeader,4,4,100.0%
CUstTimeMonitor,rte_rdtsc_raw,0,0,--
CUstTimeMonitor,rte_rdtsc,0,0,--
CUstTimeMonitor,ThreadAllocBlock,4,6,66.67%
CUstTimeMonitor,CUstTimeMonitor,4,4,100.0%
CUstTimeMonitor,GetAutoThreadNo,0,2,0.0%
CUstTimeMonitor,GetMaxRecordThreadCount,0,0,--
CUstTimeMonitor,GetCurrectRecordHeader,2,4,50.0%
CUstTimeMonitor,GetTimeStr,0,2,0.0%
